subject,session_index,rep,H.percent,UD.percent.e,DD.percent.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
adam,1,11,0.08204,0.2522,0.33563,0.0925,0.23495,0.32824,0.0707,0.12382,0.19553,0.06648,0.17721,0.24463,0.10681,0.54733,0.65516,0.09905,0.14475,0.24479,0.05548,0.08714,0.14263,0.08709,0.19729,0.2859,0.08629,0.14393,0.23118,0.06672,0.07591,0.14363,0.10477
adam,1,12,0.07198,0.15596,0.22794,0.09372,0.21217,0.30689,0.08847,0.04719,0.13665,0.08054,0.39502,0.47556,0.10044,0.23507,0.3365,0.08423,0.1235,0.20774,0.06808,0.10335,0.17243,0.08759,0.69251,0.7801,0.09447,0.12795,0.22342,0.07296,0.23145,0.30441,0.09496
adam,1,13,0.07119,0.1494,0.22059,0.09031,0.19583,0.28715,0.08298,0.06378,0.14792,0.07165,0.38936,0.46101,0.08591,0.26818,0.35509,0.08786,0.11627,0.20412,0.07092,0.08796,0.15888,0.09063,0.1243,0.21589,0.09925,0.14894,0.24819,0.06384,0.10443,0.16826,0.10268
adam,1,14,0.08313,0.18399,0.26813,0.08674,0.14823,0.236,0.07851,0.07133,0.15086,0.07132,0.44865,0.52097,0.08685,0.53224,0.62009,0.08335,0.12834,0.21266,0.06746,0.06825,0.13571,0.07958,0.16412,0.2437,0.09551,0.11446,0.21097,0.07128,1.98456,2.0568,0.08842
adam,1,15,0.05498,0.1202,0.17592,0.10281,0.29291,0.39672,0.07097,0.09934,0.17032,0.07142,0.2401,0.31218,0.09954,0.309,0.40854,0.0869,0.14323,0.23113,0.06605,0.08636,0.15241,0.10071,0.15184,0.25255,0.0818,0.12466,0.20748,0.06725,0.20488,0.27284,0.10711
adam,1,16,0.07541,0.26908,0.34449,0.0899,0.17945,0.27034,0.09118,0.0726,0.16478,0.0718,0.2635,0.3353,0.10872,0.4236,0.53233,0.08865,0.11609,0.20474,0.06669,0.11206,0.17974,0.08405,0.15902,0.24307,0.08709,0.129,0.21705,0.06334,0.07911,0.14308,0.11322
adam,1,17,0.078,0.12488,0.20387,0.08651,0.24041,0.32794,0.08245,0.10779,0.19119,0.07943,0.23603,0.31653,0.10649,0.41668,0.52418,0.07889,0.14644,0.22634,0.06777,0.10002,0.16879,0.09189,0.19625,0.28914,0.07076,0.13197,0.20372,0.0624,0.08418,0.14758,0.10333
adam,1,18,0.07984,0.19509,0.27594,0.07898,0.20744,0.28742,0.0874,0.06383,0.15219,0.0803,0.49126,0.57156,0.08728,0.23612,0.3244,0.08728,0.13616,0.22444,0.06733,0.09227,0.1596,0.10025,0.12717,0.22742,0.0803,0.15571,0.23701,0.06398,0.08317,0.14815,0.09588
adam,1,19,0.0837,0.14703,0.23072,0.11592,0.99143,1.10789,0.07644,0.09923,0.17637,0.07117,0.31594,0.38813,0.08846,0.31615,0.40461,0.07458,0.12772,0.20332,0.07336,0.09128,0.16463,0.0791,0.10369,0.1834,0.10777,0.10382,0.21247,0.06773,0.1994,0.26713,0.09986
adam,1,20,0.07671,0.15114,0.22785,0.09543,0.70043,0.79586,0.06316,0.07578,0.13994,0.07498,0.22098,0.29647,0.10325,0.29958,0.40283,0.0836,0.12891,0.21351,0.06309,0.10858,0.17167,0.09611,0.19604,0.29215,0.08241,0.12733,0.21073,0.07192,0.13259,0.20526,0.10402
adam,1,21,0.07857,0.84395,0.92352,0.0823,0.17229,0.2556,0.09642,0.0757,0.17212,0.07175,0.3047,0.37645,0.09009,0.28785,0.37895,0.08048,0.14491,0.22539,0.05029,0.36793,0.41921,0.08622,0.1357,0.22295,0.08063,0.1239,0.20553,0.05811,0.05161,0.11068,0.10688
adam,1,22,0.07906,0.51661,0.59668,0.07812,0.15197,0.2311,0.06294,0.08383,0.14876,0.07512,0.25582,0.33094,0.08723,0.34808,0.4363,0.08418,0.12024,0.20441,0.06796,0.12773,0.19569,0.08296,0.16004,0.24379,0.08818,0.12793,0.21612,0.07073,0.09616,0.16789,0.08392
adam,1,23,0.067,1.03648,1.10447,0.09088,0.16047,0.2523,0.07825,0.08015,0.15941,0.07781,0.2766,0.35541,0.0833,0.58384,0.66811,0.08371,0.15144,0.23619,0.06772,0.20363,0.27135,0.09876,0.19243,0.29218,0.08403,0.14042,0.22502,0.0671,0.16824,0.23534,0.07407
adam,1,24,0.07813,0.18324,0.26238,0.09281,0.20645,0.30028,0.08119,0.08834,0.16954,0.06691,0.28446,0.35138,0.09055,0.43217,0.52373,0.08035,0.12326,0.20472,0.0669,0.07248,0.13938,0.07004,0.24098,0.31202,0.07951,0.13203,0.21154,0.06835,0.07175,0.14009,0.09503
adam,1,25,0.06235,0.17329,0.23664,0.09458,0.14044,0.23503,0.07659,0.05904,0.13563,0.07469,0.47238,0.54807,0.08854,0.36838,0.45692,0.07839,0.15188,0.23128,0.06407,0.11198,0.17605,0.0671,0.11621,0.18436,0.0949,0.13677,0.23167,0.06242,0.10052,0.16375,0.08751
adam,1,26,0.08278,0.34887,0.43191,0.08245,0.15139,0.23505,0.07521,0.10905,0.18536,0.06711,0.33561,0.40271,0.07984,0.27267,0.35352,0.07394,0.14412,0.21906,0.06777,0.10877,0.17654,0.07903,0.16783,0.24788,0.05871,0.15256,0.2123,0.05423,0.10914,0.16426,0.07885
adam,1,27,0.07894,0.26464,0.34358,0.07856,0.16074,0.24033,0.10004,0.04367,0.14371,0.07509,0.77544,0.85154,0.0954,1.84074,1.93682,0.08247,0.14094,0.22442,0.06562,0.22899,0.29561,0.0635,0.20868,0.27219,0.0793,0.11123,0.19153,0.07069,0.08851,0.1602,0.09648
adam,1,28,0.0752,0.18455,0.25975,0.0967,0.13901,0.23571,0.07656,0.09531,0.17188,0.07985,0.30416,0.38401,0.0866,0.24089,0.32849,0.08348,0.13579,0.22026,0.05822,0.10901,0.16819,0.07118,0.37938,0.45056,0.08316,0.12452,0.20867,0.0655,0.23669,0.30418,0.08708
adam,1,29,0.09543,0.18963,0.28562,0.09466,0.13125,0.2269,0.07547,0.06767,0.14414,0.07565,0.31561,0.39126,0.08085,0.27111,0.35196,0.06,0.1605,0.2205,0.05643,0.09187,0.1483,0.08281,0.06694,0.15094,0.07561,0.1279,0.2045,0.0555,0.06388,0.12037,0.1072
adam,1,30,0.07046,0.29529,0.36674,0.09165,0.11443,0.20745,0.08882,0.05539,0.1452,0.07978,0.21577,0.29555,0.09872,0.25717,0.35689,0.07905,0.13628,0.21533,0.08009,0.18282,0.26291,0.03186,0.46118,0.49403,0.07074,0.11648,0.18821,0.0614,0.09272,0.15512,0.08356
kasia,7,49,0.07507,0.08862,0.16457,0.0665,0.10822,0.17572,0.19275,0.08453,0.03753,0.04688,0.25742,0.34379,0.13989,0.14388,0.28378,0.22811,0.08423,0.06293,0.05126,0.04757,0.16348,0.11965,0.03987,0.15988,0.10464,0.10026,0.20491,0.11466,0.052,0.16763,0.09492
