subject,session_index,rep,H.percent,UD.percent.e,DD.percent.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
kasia,4,27,0.08146,0.05237,0.13482,0.06716,0.12854,0.1967,0.07875,0.02397,0.10372,0.06004,0.10844,0.16848,0.12258,0.63207,0.75565,0.07504,0.11355,0.18959,0.05255,0.06952,0.12259,0.1075,0.03941,0.14691,0.08284,0.11613,0.20007,0.06473,0.07549,0.14022,0.07898
kasia,4,28,0.06247,0.37246,0.43594,0.08673,0.1438,0.23153,0.07515,0.03206,0.10798,0.05971,0.24053,0.30024,0.07545,0.35091,0.42737,0.07206,0.14769,0.22073,0.06827,0.10391,0.17218,0.09502,0.04324,0.13911,0.09706,0.16355,0.2606,0.06677,0.10393,0.1717,0.07626
kasia,4,29,0.07157,0.14362,0.21575,0.10461,0.1916,0.29721,0.03833,0.06788,0.10722,0.07563,0.14384,0.22045,0.07166,0.80405,0.87571,0.06789,0.11533,0.18388,0.06482,0.03914,0.10396,0.0954,0.10047,0.19685,0.0827,0.13516,0.21896,0.06059,0.09959,0.16018,0.09233
kasia,5,30,0.06314,0.05226,0.11639,0.07046,0.11234,0.18476,0.19582,0.08254,0.01087,0.06429,0.17616,0.25296,0.05444,0.10423,0.15966,0.22863,0.12441,0.02694,0.06447,0.07547,0.16757,0.09893,0.03553,0.13509,0.05925,0.09679,0.1573,0.05097,0.07575,0.1277,0.09215
kasia,5,31,0.06232,0.07199,0.13513,0.07081,0.12558,0.19639,0.19618,0.0706,0.02707,0.0237,0.26049,0.31264,0.06962,0.41278,0.48439,0.55345,0.13967,0.019,0.09541,0.10022,0.21605,0.10319,0.09159,0.19577,0.08718,0.10358,0.19177,0.03489,0.19174,0.22764,0.0789
kasia,5,32,0.0853,0.11916,0.20546,0.11359,0.15459,0.26818,0.04125,0.013,0.05524,0.03532,0.63512,0.67145,0.07258,0.31494,0.38752,0.07879,0.10144,0.18124,0.06281,0.1639,0.22772,0.07123,0.13202,0.20425,0.10706,0.13179,0.23985,0.1156,0.08354,0.20015,0.11894
kasia,5,33,0.06703,0.20817,0.2762,0.06767,0.1846,0.25227,0.04635,0.68391,0.73225,0.06621,0.31234,0.37855,0.09566,0.17559,0.27224,0.0993,0.10049,0.20078,0.08117,0.12432,0.20749,0.09984,0.07635,0.17619,0.13154,0.13652,0.26806,0.11841,0.12065,0.24006,0.09342
kasia,5,34,0.07411,0.12459,0.19971,0.07406,0.16078,0.23585,0.27694,0.11616,0.03106,0.05983,0.26003,0.35186,0.10049,0.54434,0.64483,0.08596,0.08085,0.16743,0.05447,0.09234,0.14781,0.10385,0.03563,0.13989,0.08853,0.10354,0.19207,0.04254,0.17271,0.21625,0.05876
kasia,5,35,0.0623,0.15533,0.21862,0.08084,0.11819,0.20003,0.09201,0.02687,0.11888,0.06428,0.27388,0.33833,0.10846,0.68889,0.79836,0.10494,0.10837,0.21332,0.07133,0.11124,0.18357,0.09826,0.1328,0.23205,0.07129,0.18363,0.25592,0.06581,0.1973,0.26413,0.05384
kasia,5,36,0.07208,0.20061,0.27359,0.13649,0.17303,0.30952,0.25907,0.08604,0.04511,0.0357,0.20484,0.28634,0.10449,0.23817,0.34266,0.08478,0.12253,0.20833,0.07295,0.08184,0.15579,0.13674,0.14588,0.28262,0.08161,0.15025,0.23239,0.08469,0.14566,0.23136,0.0636
kasia,5,37,0.08042,0.19612,0.27743,0.10819,0.14649,0.25568,0.12262,0.07116,0.19478,0.067,0.16453,0.23253,0.10421,0.23173,0.33695,0.06801,0.11398,0.18199,0.0766,0.13285,0.21045,0.09421,0.14189,0.23709,0.09075,0.10394,0.19469,0.07803,0.17332,0.25134,0.07964
kasia,5,38,0.08001,0.19209,0.2721,0.08219,0.20346,0.28713,0.09981,0.01961,0.12043,0.0562,0.30349,0.35969,0.05939,0.6762,0.73659,0.08734,0.09618,0.18454,0.04656,0.07235,0.11942,0.07888,0.08327,0.16292,0.07189,0.12427,0.19716,0.04648,0.05208,0.09956,0.07872
kasia,5,39,0.09365,0.21524,0.3099,0.1261,0.14113,0.26822,0.17296,0.28145,0.4554,0.117,0.12745,0.24598,0.14586,0.60139,0.74725,0.10041,0.10477,0.20618,0.14442,0.0271,0.17251,0.18147,0.12424,0.30635,0.12115,0.12821,0.25036,0.13541,0.05314,0.18955,0.13722
kasia,5,40,0.14083,0.15188,0.29311,0.1086,0.13111,0.24046,0.24449,0.11338,0.04026,0.12315,0.19189,0.35643,0.1222,0.6694,0.79259,0.09632,0.08125,0.17757,0.13077,0.00993,0.1417,0.13165,0.35576,0.48741,0.08766,0.11709,0.20475,0.07264,0.04994,0.12354,0.07325
kasia,5,41,0.08861,0.18837,0.27823,0.12576,0.1045,0.23127,0.11744,0.01267,0.13162,0.1369,0.14129,0.27885,0.08058,0.68455,0.76612,0.07581,0.11501,0.19178,0.08989,0.02713,0.11802,0.11766,0.12768,0.24635,0.10885,0.14574,0.25559,0.08569,0.06879,0.15448,0.0915
kasia,5,42,0.08637,0.07123,0.15859,0.09573,0.09537,0.1918,0.17587,0.0805,0.01535,0.07589,0.10846,0.20093,0.07187,0.13588,0.20774,0.26412,0.12824,0.02234,0.06025,0.05236,0.13594,0.10767,0.32362,0.43128,0.0796,0.1089,0.18849,0.09594,0.06378,0.15972,0.07626
