subject,session_index,rep,H.dot,UD.dot.e,DD.dot.e,H.e,UD.e.g,DD.e.g,H.g,UD.g.o,DD.g.o,H.o,UD.o.one,DD.o.one,H.one,UD.one.B,DD.one.B,H.B,UD.B.u,DD.B.u,H.u,UD.u.s,DD.u.s,H.s,UD.s.l,DD.s.l,H.l,UD.l.i,DD.l.i,H.i,UD.i.x,DD.i.x,H.x
kasia,7,65,0.09859,0.15062,0.24921,0.09721,0.11728,0.2145,0.11765,0.01253,0.13169,0.06678,0.17895,0.24714,0.10988,0.41384,0.52371,0.09594,0.13302,0.22896,0.06738,0.04135,0.10936,0.13158,0.03281,0.16439,0.09439,0.10583,0.20022,0.09145,0.0172,0.10865,0.10393
kasia,7,66,0.11743,0.15033,0.26876,0.10505,0.10455,0.20961,0.20491,0.10035,0.03106,0.05923,0.49785,0.58914,0.09406,0.14623,0.24029,0.08187,0.09971,0.18158,0.09026,0.04591,0.13718,0.17388,0.12797,0.01742,0.06838,0.10042,0.18622,0.06796,0.02746,0.09641,0.09441
kasia,7,67,0.15027,0.09559,0.24586,0.12133,0.11068,0.23302,0.2327,0.12202,0.02687,0.08545,0.15507,0.2684,0.10514,0.15845,0.26456,0.08675,0.09129,0.17836,0.07653,0.04127,0.1178,0.12246,0.02765,0.15011,0.08643,0.09017,0.17699,0.07351,0.03624,0.10975,0.10998
kasia,7,68,0.08319,0.18835,0.27254,0.07142,0.12803,0.19982,0.07848,0.04518,0.12395,0.08722,0.34803,0.43629,0.06002,0.45311,0.51313,0.09868,0.06,0.15868,0.08739,0.04006,0.12785,0.06763,0.06899,0.13662,0.0713,0.12801,0.19931,0.07222,0.02803,0.10025,0.08016
kasia,7,69,0.10796,0.03624,0.1442,0.07129,0.08825,0.15988,0.08302,0.01635,0.10038,0.05599,0.13177,0.18776,0.09957,0.06818,0.16776,0.08339,0.05528,0.13961,0.07914,0.05135,0.13156,0.08331,0.06424,0.14998,0.08658,0.10832,0.1949,0.05981,0.03245,0.09225,0.09124
kasia,7,70,0.11456,0.13067,0.24524,0.11884,0.12684,0.24668,0.10938,0.01392,0.1233,0.08137,0.13258,0.21488,0.10025,0.40943,0.50968,0.08538,0.15583,0.24222,0.08272,0.05871,0.14143,0.11944,0.02262,0.14206,0.08399,0.10966,0.19465,0.08184,0.02652,0.10936,0.08067
kasia,7,71,0.12289,0.21449,0.33738,0.08177,0.10426,0.18604,0.11077,0.01257,0.12334,0.0967,0.14615,0.24285,0.08955,0.14693,0.23747,0.13632,0.01258,0.1489,0.12354,0.01706,0.14059,0.11388,0.04118,0.15606,0.11375,0.07302,0.18677,0.14615,0.07313,0.02656,0.08051
kasia,7,72,0.13543,0.0963,0.23277,0.10389,0.09705,0.20094,0.18229,0.08524,0.0194,0.05891,0.59635,0.67466,0.08217,0.20478,0.28795,0.07047,0.10633,0.17717,0.08126,0.04124,0.12251,0.11295,0.03174,0.14595,0.08107,0.1372,0.21943,0.0807,0.03652,0.11792,0.08373
kasia,7,73,0.1052,0.19949,0.30469,0.11787,0.20621,0.32408,0.10844,0.01443,0.12317,0.06745,0.16071,0.22826,0.1271,0.55148,0.67858,0.09616,0.11312,0.20928,0.10062,0.03591,0.13654,0.0911,0.07216,0.16407,0.09971,0.11037,0.21042,0.09029,0.01974,0.11003,0.11209
kasia,7,74,0.06048,0.20748,0.26796,0.07339,0.09739,0.17077,0.09551,0.03232,0.12927,0.08278,0.21963,0.30341,0.08781,0.24773,0.33654,0.35593,0.10819,0.0397,0.06016,0.03191,0.13177,0.07854,0.06102,0.14058,0.10762,0.08372,0.19134,0.16252,0.0788,0.01574,0.0829
